Date,Open,High,Low,Close,Volume,Adj Close
2012-07-30,172.850006,173.520004,167.380005,171.910004,2028700,162.939468
2012-07-23,168.199997,173.449997,165.419998,172.720001,2295300,163.707199
2012-07-16,171.149994,173.699997,168.940002,171.139999,1218400,162.209656
2012-07-09,172.309998,173.220001,166.789993,171.509995,1687700,162.560333
2012-07-02,172.330002,175.039993,170.970001,172.490005,1946700,163.489212
2012-06-25,164.320007,171.520004,162.729996,171.300003,2441600,162.361298
2012-06-18,166.259995,171.399994,165.490005,166.539993,1431500,157.849686
2012-06-11,170.360001,170.589996,164.330002,167.25,2555000,158.522644
2012-06-04,163.669998,170.539993,160.690002,168.720001,1763600,159.424774
2012-05-29,171.610001,172.850006,163.270004,163.339996,1966700,154.341171
2012-05-21,165.169998,171.080002,164.429993,170.289993,2709400,160.908264
2012-05-14,173.770004,174.899994,164.589996,164.710007,2760900,155.635696
2012-05-07,175.320007,177.139999,172.779999,175.580002,2045200,165.90683
2012-04-30,181.740005,183.160004,175.020004,175.699997,1942300,166.020218
2012-04-23,175.279999,182.210007,173.740005,181.75,1947000,171.736908
2012-04-16,176.410004,179.539993,174.380005,177.479996,1675200,167.702148
2012-04-09,176.279999,178.100006,172.339996,175.539993,2966700,165.869034
2012-04-02,180.470001,182.800003,178.649994,178.990005,3282200,169.128967
2012-03-26,181.779999,183.110001,178.809998,180.710007,2205700,170.754211
2012-03-19,181.520004,183.350006,177.619995,180.139999,3480600,170.215607
2012-03-12,179.270004,182.589996,178.050003,181.740005,2188600,171.727463
2012-03-05,177.539993,180.070007,173.309998,179.259995,2569900,169.028381
2012-02-27,177.929993,180.050003,176.759995,177.850006,2491700,167.698868
2012-02-21,179.529999,180.139999,176.740005,179.210007,2747200,168.981247
2012-02-13,177.240005,180.279999,175.720001,179.210007,2553400,168.981247
2012-02-06,175.809998,177.770004,174.649994,175.330002,2012100,165.322708
2012-01-30,169.929993,176.899994,168.669998,176.630005,2637200,166.548508
2012-01-23,169.199997,172.720001,167.550003,171.440002,2622100,161.654739
2012-01-17,166.300003,169.649994,164.809998,169.130005,2319500,159.476578
2012-01-09,162.699997,165.940002,161.339996,164.949997,2248800,155.535156
2012-01-03,163.089996,163.770004,158.449997,161.929993,2596900,152.687531
2011-12-27,160.220001,161.880005,158.199997,159.490005,2137600,150.38681
2011-12-19,156.309998,160.800003,152.339996,160.759995,2589600,151.584305
